라운드,경기번호,날짜,요일,주말,더비,온도,습도,예측관중,하한95,상한95
1,1,2026-03-01,Sunday,주말,일반,11.4,46,24370,4925,29244
1,2,2026-03-02,Monday,평일,더비,11.4,46,31681,4404,38018
1,3,2026-03-03,Tuesday,평일,일반,11.4,46,32920,8609,39504
1,4,2026-03-01,Sunday,주말,일반,11.4,46,24115,4070,28937
1,5,2026-03-02,Monday,평일,일반,11.4,46,17563,1361,21075
1,6,2026-03-03,Tuesday,평일,일반,11.4,46,17563,1205,21075
2,1,2026-03-08,Sunday,주말,일반,11.4,46,11396,2774,13675
2,2,2026-03-09,Monday,평일,더비,11.4,46,14814,2708,17777
2,3,2026-03-10,Tuesday,평일,일반,11.4,46,16240,6887,19488
2,4,2026-03-08,Sunday,주말,일반,11.4,46,11351,2365,13622
2,5,2026-03-09,Monday,평일,일반,11.4,46,7848,90,9418
2,6,2026-03-10,Tuesday,평일,더비,11.4,46,16557,4245,19868
3,1,2026-03-15,Sunday,주말,일반,11.4,46,10471,2226,12566
3,2,2026-03-16,Monday,평일,일반,11.4,46,10471,2028,12566
3,3,2026-03-17,Tuesday,평일,일반,11.4,46,10639,1836,12767
3,4,2026-03-15,Sunday,주말,일반,11.4,46,10639,1682,12767
3,5,2026-03-16,Monday,평일,일반,11.4,46,7338,0,8806
3,6,2026-03-17,Tuesday,평일,일반,11.4,46,7338,0,8806
4,1,2026-03-22,Sunday,주말,일반,11.4,46,10618,1808,12741
4,2,2026-03-23,Monday,평일,일반,11.4,46,10618,2276,12741
4,3,2026-03-24,Tuesday,평일,일반,11.4,46,10824,2146,12989
4,4,2026-03-22,Sunday,주말,일반,11.4,46,10824,2063,12989
4,5,2026-03-23,Monday,평일,일반,11.4,46,7530,0,9036
4,6,2026-03-24,Tuesday,평일,일반,11.4,46,7530,0,9036
5,1,2026-03-29,Sunday,주말,일반,11.4,46,10382,2168,12458
5,2,2026-03-30,Monday,평일,일반,11.4,46,10382,1500,12458
5,3,2026-03-31,Tuesday,평일,일반,11.4,46,10438,1889,12525
5,4,2026-03-29,Sunday,주말,일반,11.4,46,10438,1922,12525
5,5,2026-03-30,Monday,평일,일반,11.4,46,6986,0,8383
5,6,2026-03-31,Tuesday,평일,일반,11.4,46,6986,0,8383
6,1,2026-04-05,Sunday,주말,일반,17.5,44,10066,1720,12079
6,2,2026-04-06,Monday,평일,일반,17.5,44,14942,6448,17930
6,3,2026-04-07,Tuesday,평일,일반,17.5,44,10018,1609,12022
6,4,2026-04-05,Sunday,주말,더비,17.5,44,19362,5865,23234
6,5,2026-04-06,Monday,평일,더비,17.5,44,8440,0,10128
6,6,2026-04-07,Tuesday,평일,일반,17.5,44,6492,0,7791
7,1,2026-04-12,Sunday,주말,일반,17.5,44,8692,96,10430
7,2,2026-04-13,Monday,평일,일반,17.5,44,8692,443,10430
7,3,2026-04-14,Tuesday,평일,일반,17.5,44,8767,696,10520
7,4,2026-04-12,Sunday,주말,일반,17.5,44,8767,722,10520
7,5,2026-04-13,Monday,평일,일반,17.5,44,5397,0,6476
7,6,2026-04-14,Tuesday,평일,일반,17.5,44,5397,0,6476
8,1,2026-04-19,Sunday,주말,일반,17.5,44,8678,443,10414
8,2,2026-04-20,Monday,평일,더비,17.5,44,11281,554,13538
8,3,2026-04-21,Tuesday,평일,일반,17.5,44,13866,4478,16639
8,4,2026-04-19,Sunday,주말,일반,17.5,44,8997,840,10797
8,5,2026-04-20,Monday,평일,일반,17.5,44,5869,0,7042
8,6,2026-04-21,Tuesday,평일,일반,17.5,44,5869,0,7042
9,1,2026-04-26,Sunday,주말,일반,17.5,44,10085,880,12101
9,2,2026-04-27,Monday,평일,일반,17.5,44,10085,1496,12101
9,3,2026-04-28,Tuesday,평일,더비,17.5,44,13659,2291,16390
9,4,2026-04-26,Sunday,주말,일반,17.5,44,15372,6229,18447
9,5,2026-04-27,Monday,평일,더비,17.5,44,16007,3977,19208
9,6,2026-04-28,Tuesday,평일,더비,17.5,44,16007,3254,19208
10,1,2026-05-03,Sunday,주말,일반,20.7,51,12202,3530,14642
10,2,2026-05-04,Monday,평일,더비,20.7,51,15862,3742,19035
10,3,2026-05-05,Tuesday,평일,일반,20.7,51,17344,7716,20813
10,4,2026-05-03,Sunday,주말,일반,20.7,51,12482,3493,14978
10,5,2026-05-04,Monday,평일,일반,20.7,51,9258,269,11109
10,6,2026-05-05,Tuesday,평일,일반,20.7,51,9258,1023,11109
11,1,2026-05-10,Sunday,주말,일반,20.7,51,12211,3595,14653
11,2,2026-05-11,Monday,평일,일반,20.7,51,12211,3277,14653
11,3,2026-05-12,Tuesday,평일,일반,20.7,51,12279,3246,14734
11,4,2026-05-10,Sunday,주말,일반,20.7,51,12279,3783,14734
11,5,2026-05-11,Monday,평일,일반,20.7,51,8857,785,10628
11,6,2026-05-12,Tuesday,평일,일반,20.7,51,8857,685,10628
12,1,2026-05-17,Sunday,주말,일반,20.7,51,11147,2203,13377
12,2,2026-05-18,Monday,평일,일반,20.7,51,16003,6649,19204
12,3,2026-05-19,Tuesday,평일,일반,20.7,51,11172,2835,13407
12,4,2026-05-17,Sunday,주말,더비,20.7,51,14524,2062,17429
12,5,2026-05-18,Monday,평일,일반,20.7,51,7743,0,9292
12,6,2026-05-19,Tuesday,평일,일반,20.7,51,7743,0,9292
13,1,2026-05-24,Sunday,주말,일반,20.7,51,10434,1736,12521
13,2,2026-05-25,Monday,평일,일반,20.7,51,10434,1756,12521
13,3,2026-05-26,Tuesday,평일,일반,20.7,51,10609,2067,12731
13,4,2026-05-24,Sunday,주말,일반,20.7,51,10609,2171,12731
13,5,2026-05-25,Monday,평일,일반,20.7,51,7346,0,8815
